Sno,Organisation,Location,Date,Rocket Status,Mission Status
1201,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Mar 21, 2000 23:28 UTC",Retired,Success
1202,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 12, 2000 14:49 UTC",Active,Success
1203,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Sun Mar 12, 2000 09:29 UTC",Active,Success
1204,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Thu Mar 02, 2000 09:26 UTC",Retired,Success
1205,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 18, 2000 01:04 UTC",Retired,Success
1206,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Feb 11, 2000 16:43 UTC",Retired,Success
1207,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Thu Feb 10, 2000 01:30 UTC",Retired,Success
1208,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Feb 08, 2000 21:24 UTC",Retired,Success
1209,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Feb 03, 2000 23:30 UTC",Retired,Success
1210,Northrop,"SLC-8, Vandenberg AFB, California, USA","Thu Jan 27, 2000 03:03 UTC",Active,Success
1211,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 25, 2000 16:45 UTC",Active,Success
1212,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Jan 25, 2000 01:04 UTC",Retired,Success
1213,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Jan 21, 2000 01:03 UTC",Retired,Success
1214,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Fri Dec 31, 1999 07:13 UTC",Active,Success
1215,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Mon Dec 27, 1999 19:12 UTC",Retired,Success
1216,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Sun Dec 26, 1999 08:00 UTC",Retired,Success
1217,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Dec 22, 1999 00:50 UTC",Retired,Success
1218,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Dec 20, 1999 00:50 UTC",Retired,Success
1219,Lockheed,"SLC-3E, Vandenberg AFB, California, USA","Sat Dec 18, 1999 18:57 UTC",Retired,Success
1220,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Dec 12, 1999 17:36 UTC",Retired,Success
1221,AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","Sat Dec 11, 1999 19:40 UTC",Active,Success
1222,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Dec 10, 1999 14:32 UTC",Retired,Success
1223,Northrop,"Stargazer, Vandenberg AFB, California, USA","Sat Dec 04, 1999 18:53 UTC",Active,Success
1224,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Dec 03, 1999 16:22 UTC",Retired,Success
1225,Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA","Tue Nov 23, 1999 04:06 UTC",Retired,Success
1226,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Fri Nov 19, 1999 22:30 UTC",Active,Success
1227,MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Nov 15, 1999 07:29 UTC",Retired,Success
1228,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Nov 13, 1999 22:54 UTC",Retired,Success
1229,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Oct 19, 1999 06:22 UTC",Retired,Success
1230,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Thu Oct 14, 1999 03:15 UTC",Active,Success
1231,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Oct 10, 1999",Active,Success
1232,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 25, 1999 06:29 UTC",Retired,Success
1233,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Fri Sep 24, 1999 18:21 UTC",Retired,Success
1234,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Sep 23, 1999 06:02 UTC",Retired,Success
1235,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 04, 1999 22:34 UTC",Retired,Success
1236,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Aug 26, 1999 12:02 UTC",Retired,Success
1237,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Aug 17, 1999 04:37 UTC",Retired,Success
1238,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Aug 12, 1999 22:52 UTC",Retired,Success
1239,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Aug 07, 1999 12:51 UTC",Retired,Success
1240,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Jul 25, 1999 07:46 UTC",Retired,Success
1241,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Jul 23, 1999 04:31 UTC",Retired,Success
1242,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sat Jul 17, 1999 05:37 UTC",Retired,Success
1243,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Jul 10, 1999 08:45 UTC",Retired,Success
1244,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Jul 08, 1999 08:45 UTC",Retired,Success
1245,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Jun 24, 1999 15:44 UTC",Retired,Success
1246,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Jun 20, 1999 02:15 UTC",Retired,Success
1247,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Fri Jun 11, 1999 17:15 UTC",Active,Success
1248,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Jun 10, 1999 13:48 UTC",Retired,Success
1249,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sat May 29, 1999 11:52 UTC",Retired,Success
1250,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu May 27, 1999 10:49 UTC",Retired,Success
1251,Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Sat May 22, 1999 09:36 UTC",Retired,Success
1252,Northrop,"Stargazer, Vandenberg AFB, California, USA","Tue May 18, 1999 05:09 UTC",Active,Success
1253,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon May 10, 1999 01:33 UTC",Active,Success
1254,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed May 05, 1999 01:00 UTC",Retired,Success
1255,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 30, 1999 16:30 UTC",Retired,Success
1256,VKS RF,"Site 107/1, Kapustin Yar, Russia","Wed Apr 28, 1999",Retired,Success
1257,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Tue Apr 27, 1999 18:22 UTC",Retired,Success
1258,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Apr 21, 1999",Retired,Success
1259,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Thu Apr 15, 1999 18:32 UTC",Retired,Success
1260,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Apr 12, 1999 22:50 UTC",Retired,Success
1261,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Apr 09, 1999 17:01 UTC",Retired,Success
1262,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Apr 02, 1999 22:03 UTC",Retired,Success
1263,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 28, 1999",Active,Success
1264,Northrop,"Stargazer, Vandenberg AFB, California, USA","Fri Mar 05, 1999 02:56 UTC",Active,Success
1265,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 26, 1999 22:44 UTC",Retired,Success
1266,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Feb 23, 1999 10:29 UTC",Retired,Success
1267,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Feb 16, 1999 01:45 UTC",Retired,Success
1268,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Feb 07, 1999 21:04 UTC",Retired,Success
1269,Lockheed,"SLC-46, Cape Canaveral AFS, Florida, USA","Wed Jan 27, 1999 00:34 UTC",Retired,Success
1270,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Jan 03, 1999 20:21 UTC",Retired,Success
1271,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 24, 1998 20:02 UTC",Retired,Success
1272,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Dec 22, 1998 01:08 UTC",Retired,Success
1273,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Sat Dec 19, 1998 11:39 UTC",Active,Success
1274,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Dec 11, 1998 18:45 UTC",Retired,Success
1275,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 10, 1998 11:57 UTC",Retired,Success
1276,Northrop,"Stargazer, Vandenberg AFB, California, USA","Sun Dec 06, 1998 00:57 UTC",Active,Success
1277,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sun Dec 06, 1998 00:43 UTC",Retired,Success
1278,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 04, 1998 08:35 UTC",Retired,Success
1279,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Nov 22, 1998 23:54 UTC",Retired,Success
1280,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Fri Nov 06, 1998 13:37 UTC",Retired,Success
1281,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Oct 29, 1998 19:19 UTC",Retired,Success
1282,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Oct 28, 1998 22:15 UTC",Retired,Success
1283,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA","Thu Oct 22, 1998 00:02 UTC",Retired,Success
1284,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Oct 21, 1998 16:37 UTC",Retired,Success
1285,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Oct 20, 1998 07:19 UTC",Retired,Success
1286,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Oct 09, 1998 22:50 UTC",Retired,Success
1287,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Oct 05, 1998 22:51 UTC",Retired,Success
1288,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Sat Oct 03, 1998 10:04 UTC",Active,Success
1289,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Sep 28, 1998 23:41 UTC",Retired,Success
1290,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Wed Sep 23, 1998 05:06 UTC",Active,Success
1291,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Sep 16, 1998 06:31 UTC",Retired,Success
1292,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Sep 09, 1998 20:29 UTC",Retired,Success
1293,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Sep 08, 1998 21:13 UTC",Retired,Success
1294,KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Mon Aug 31, 1998 03:07 UTC",Retired,Success
1295,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Aug 27, 1998 01:17 UTC",Retired,Success
1296,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Aug 25, 1998 23:07 UTC",Retired,Success
1297,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon Aug 24, 1998 12:08 UTC",Retired,Success
1298,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Aug 19, 1998 23:01 UTC",Active,Success
1299,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Wed Aug 12, 1998 12:53 UTC",Retired,Success
1300,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Aug 12, 1998 11:30 UTC",Retired,Success
1301,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Sun Aug 02, 1998 16:24 UTC",Active,Success
1302,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue Jul 28, 1998 09:15 UTC",Retired,Success
1303,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Jul 10, 1998 06:30 UTC",Retired,Success
1304,SRC,"K-407 Submarine, Barents Sea Launch Area, Barents Sea","Tue Jul 07, 1998 03:15 UTC",Retired,Success
1305,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Fri Jul 03, 1998 18:12 UTC",Retired,Success
1306,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Jul 01, 1998 00:48 UTC",Retired,Success
1307,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Jun 18, 1998 22:48 UTC",Retired,Success
1308,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Jun 18, 1998 09:20 UTC",Active,Success
1309,VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia","Mon Jun 15, 1998 22:58 UTC",Retired,Success
1310,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Wed Jun 10, 1998 00:35 UTC",Retired,Success
1311,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jun 02, 1998 22:06 UTC",Retired,Success
1312,CASC,"LC-2, Xichang Satellite Launch Center, China","Sat May 30, 1998 10:00 UTC",Active,Success
1313,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sun May 17, 1998 21:16 UTC",Retired,Success
1314,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Wed May 13, 1998 15:52 UTC",Retired,Success
1315,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat May 09, 1998 01:38 UTC",Retired,Success
1316,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Thu May 07, 1998 08:53 UTC",Retired,Success
1317,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Sat May 02, 1998 09:16 UTC",Active,Success
1318,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Apr 28, 1998 22:53 UTC",Retired,Success
1319,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Apr 24, 1998 22:38 UTC",Retired,Success
1320,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Apr 17, 1998 18:19 UTC",Retired,Success
1321,Northrop,"Stargazer, Vandenberg AFB, California, USA","Thu Apr 02, 1998 16:24 UTC",Active,Success
1322,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon Mar 30, 1998 06:02 UTC",Retired,Success
1323,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Mar 25, 1998 17:01 UTC",Active,Success
1324,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Mar 24, 1998 01:46 UTC",Retired,Success
1325,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Mar 16, 1998 21:32 UTC",Retired,Success
1326,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sat Feb 28, 1998 00:21 UTC",Retired,Success
1327,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 27, 1998 22:38 UTC",Retired,Success
1328,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Thu Feb 26, 1998 07:07 UTC",Active,Success
1329,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Feb 21, 1998 07:55 UTC",Retired,Success
1330,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Wed Feb 18, 1998 13:58 UTC",Retired,Success
1331,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Feb 14, 1998 14:24 UTC",Retired,Success
1332,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Tue Feb 10, 1998 13:20 UTC",Active,Success
1333,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Feb 04, 1998 23:29 UTC",Retired,Success
1334,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Jan 29, 1998 18:37 UTC",Retired,Success
1335,IAI,"Pad 1, Palmachim Airbase, Israel","Thu Jan 22, 1998",Retired,Success
1336,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jan 22, 1998 02:48 UTC",Retired,Success
1337,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Jan 10, 1998 00:32 UTC",Retired,Success
1338,Lockheed,"SLC-46, Cape Canaveral AFS, Florida, USA","Wed Jan 07, 1998 02:28 UTC",Retired,Success
1339,ILS,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","Wed Dec 24, 1997 23:19 UTC",Retired,Success
1340,MITT,"Svobodny Cosmodrome, Russia","Wed Dec 24, 1997 13:32 UTC",Active,Success
1341,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Tue Dec 23, 1997 19:11 UTC",Active,Success
1342,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Dec 22, 1997 00:16 UTC",Retired,Success
1343,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sat Dec 20, 1997 13:16 UTC",Retired,Success
1344,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Dec 12, 1997 21:48 UTC",Retired,Success
1345,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Tue Dec 09, 1997 07:17 UTC",Retired,Success
1346,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Mon Dec 08, 1997 23:52 UTC",Retired,Success
1347,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon Dec 08, 1997 07:16 UTC",Active,Success
1348,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Dec 02, 1997 22:52 UTC",Retired,Success
1349,MHI,"LA-Y1, Tanegashima Space Center, Japan","Thu Nov 27, 1997 21:27 UTC",Retired,Success
1350,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Wed Nov 19, 1997 19:46 UTC",Retired,Success
1351,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sun Nov 09, 1997 01:34 UTC",Retired,Success
1352,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Nov 08, 1997 02:05 UTC",Retired,Success
1353,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Nov 06, 1997 00:30 UTC",Retired,Success
1354,AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","Sun Nov 02, 1997",Active,Success
1355,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 30, 1997 13:43 UTC",Retired,Success
1356,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Sat Oct 25, 1997 00:46 UTC",Retired,Success
1357,Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Fri Oct 24, 1997 02:32 UTC",Retired,Success
1358,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Wed Oct 22, 1997 13:13 UTC",Active,Success
1359,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Oct 16, 1997 19:13 UTC",Active,Success
1360,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Oct 15, 1997 08:43 UTC",Retired,Success
1361,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sun Oct 05, 1997 21:01 UTC",Retired,Success
1362,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 29, 1997 10:20 UTC",Retired,Success
1363,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sat Sep 27, 1997 01:23 UTC",Retired,Success
1364,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Sep 25, 1997 14:34 UTC",Retired,Success
1365,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Sep 24, 1997 21:30 UTC",Retired,Success
1366,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Sep 23, 1997 23:58 UTC",Retired,Success
1367,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Sep 23, 1997 16:44 UTC",Retired,Success
1368,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Sep 04, 1997 12:03 UTC",Retired,Success
1369,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Sep 02, 1997 22:21 UTC",Retired,Success
1370,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon Sep 01, 1997 14:00 UTC",Active,Success
1371,Northrop,"Stargazer, Vandenberg AFB, California, USA","Fri Aug 29, 1997 15:02 UTC",Active,Success
1372,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Mon Aug 25, 1997 14:39 UTC",Retired,Success
1373,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Sat Aug 23, 1997 06:51 UTC",Retired,Success
1374,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Thu Aug 21, 1997 00:38 UTC",Retired,Success
1375,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Aug 19, 1997 17:50 UTC",Active,Success
1376,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Aug 08, 1997 06:46 UTC",Retired,Success
1377,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Aug 07, 1997 14:41 UTC",Retired,Success
1378,Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria","Fri Aug 01, 1997 20:20 UTC",Active,Success
1379,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Mon Jul 28, 1997 01:15 UTC",Retired,Success
1380,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Wed Jul 23, 1997 03:43 UTC",Retired,Success
1381,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Wed Jul 09, 1997 13:04 UTC",Retired,Success
1382,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jul 01, 1997 18:02 UTC",Retired,Success
1383,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Jun 25, 1997 23:44 UTC",Retired,Success
1384,CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Jun 10, 1997 12:01 UTC",Retired,Success
1385,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Jun 03, 1997 23:20 UTC",Retired,Success
1386,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Tue May 20, 1997 22:39 UTC",Retired,Success
1387,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue May 20, 1997 07:07 UTC",Retired,Success
1388,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu May 15, 1997 08:07 UTC",Retired,Success
1389,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed May 14, 1997 00:33 UTC",Retired,Success
1390,CASC,"LC-2, Xichang Satellite Launch Center, China","Sun May 11, 1997 16:17 UTC",Active,Success
1391,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon May 05, 1997 14:55 UTC",Retired,Success
1392,Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Apr 25, 1997 05:49 UTC",Retired,Success
1393,Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria","Mon Apr 21, 1997 11:59 UTC",Active,Success
1394,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Apr 17, 1997 13:03 UTC",Retired,Success
1395,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Apr 16, 1997 23:08 UTC",Retired,Success
1396,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 04, 1997 19:20 UTC",Retired,Success
1397,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Fri Apr 04, 1997 16:47 UTC",Retired,Success
1398,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Sat Mar 08, 1997 06:01 UTC",Retired,Success
1399,MITT,"Svobodny Cosmodrome, Russia","Tue Mar 04, 1997 02:00 UTC",Active,Success
1400,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Mar 01, 1997 01:07 UTC",Retired,Success
1401,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Feb 23, 1997 20:20 UTC",Retired,Success
1402,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Mon Feb 17, 1997 01:42 UTC",Retired,Success
1403,VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia","Fri Feb 14, 1997 03:47 UTC",Retired,Success
1404,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Wed Feb 12, 1997 04:50 UTC",Retired,Success
1405,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Tue Feb 11, 1997 08:55 UTC",Retired,Success
1406,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Jan 30, 1997 22:04 UTC",Retired,Success
1407,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Jan 17, 1997 16:28 UTC",Retired,Success
1408,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Sun Jan 12, 1997 09:27 UTC",Retired,Success
1409,Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Fri Dec 20, 1996 18:04 UTC",Retired,Success
1410,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Dec 20, 1996 06:43 UTC",Retired,Success
1411,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Wed Dec 18, 1996 01:57 UTC",Retired,Success
1412,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Wed Dec 11, 1996 12:00 UTC",Retired,Success
1413,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Sat Dec 07, 1996 11:49 UTC",Retired,Success
1414,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed Dec 04, 1996 06:58 UTC",Retired,Success
1415,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Nov 21, 1996 20:47 UTC",Retired,Success
1416,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Nov 13, 1996 22:40 UTC",Retired,Success
1417,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Nov 07, 1996 17:00 UTC",Retired,Success
1418,Northrop,"Stargazer, Vandenberg AFB, California, USA","Mon Nov 04, 1996 17:08 UTC",Active,Success
1419,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Oct 24, 1996 11:37 UTC",Retired,Success
1420,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Sun Oct 20, 1996 07:20 UTC",Active,Success
1421,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Sep 16, 1996 08:54 UTC",Retired,Success
1422,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Sep 12, 1996 08:49 UTC",Retired,Success
1423,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Sep 11, 1996 00:00 UTC",Retired,Success
1424,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sun Sep 08, 1996 21:49 UTC",Retired,Success
1425,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Sep 05, 1996 12:47 UTC",Retired,Success
1426,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Sep 04, 1996 09:01 UTC",Retired,Success
1427,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Aug 29, 1996 05:22 UTC",Retired,Success
1428,Northrop,"Stargazer, Vandenberg AFB, California, USA","Wed Aug 21, 1996 09:47 UTC",Active,Success
1429,CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Aug 18, 1996 10:27 UTC",Retired,Success
